branch,date,t,source_right_end_label,physical_interval,responsible_issue_hour,point_price_forecast,scenario_mean_planning_price,actual_settlement_and_current_price,actual_load_kwh,actual_pv_kwh,forecast_load_kwh,forecast_pv_kwh,g0_kwh,geff_kwh,delta_plus_kwh,delta_minus_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_end_soc_kwh,interval_plan_cost_yuan,interval_adjustment_transaction_yuan,interval_adjustment_surcharge_yuan,interval_emergency_cost_yuan,interval_total_bill_yuan
4-3,2025-02-01,1,00:10,0:00-0:10,0,0.3399583400153683,0.34236070075874975,0.3281,422.0303666666667,0.0,435.96965853203966,0.0,1238.1322871989819,1238.1322871989819,0.0,0.0,816.101920532315,0.0,0.0,0.0,6734.491728479084,406.23120342998595,0.0,0.0,0.0,406.23120342998595
4-3,2025-02-01,2,00:20,0:10-0:20,0,0.3397425183190796,0.3394313278033195,0.3257,415.4073166666667,0.0,464.32108434849977,0.0,1266.3993473430064,1266.3993473430064,0.0,0.0,833.3333333333333,0.0,0.0,17.65869734300645,7484.491728479084,412.4662674296172,0.0,0.0,0.0,412.4662674296172
4-3,2025-02-01,3,00:30,0:20-0:30,0,0.33637282704821947,0.33069478492416565,0.3041,410.7166666666667,0.0,487.63258048168404,0.0,1294.9329287045298,1294.9329287045298,0.0,0.0,833.3333333333323,0.0,0.0,50.88292870453074,8234.491728479083,393.78910361904747,0.0,0.0,0.0,393.78910361904747
4-3,2025-02-01,4,00:40,0:30-0:40,0,0.3361693834710523,0.33548358403042355,0.3126,430.29479999999995,0.0,461.39861013457227,0.0,1254.6056735110074,1254.6056735110074,0.0,0.0,824.3108735110076,0.0,0.0,0.0,8976.37151463899,392.1897335395409,0.0,0.0,0.0,392.1897335395409
4-3,2025-02-01,5,00:50,0:40-0:50,0,0.3432517017744674,0.3492818232480001,0.3286,424.4105833333333,0.0,450.6391780161755,0.0,558.1294360812308,558.1294360812308,0.0,0.0,133.71885274789747,0.0,0.0,0.0,9096.718482112097,183.40133269629243,0.0,0.0,0.0,183.40133269629243
4-3,2025-02-01,6,01:00,0:50-1:00,0,0.35157677836906803,0.36098445530935075,0.3438,406.0516666666666,0.0,467.8274089685731,0.0,495.3917076958247,495.3917076958247,0.0,0.0,89.34004102915827,0.0,0.0,0.0,9177.12451903834,170.31566910582453,0.0,0.0,0.0,170.31566910582453
4-3,2025-02-01,7,01:10,1:00-1:10,0,0.3504108872504642,0.36265332820525925,0.3704,436.7501833333333,0.0,461.3105003646568,0.0,497.11868196781535,497.11868196781535,0.0,0.0,60.36849863448272,0.0,0.0,0.0,9231.456167809374,184.1327598008788,0.0,0.0,0.0,184.1327598008788
4-3,2025-02-01,8,01:20,1:10-1:20,0,0.34812939430416445,0.3609906120506819,0.3746,451.7976833333333,0.0,443.8641151511249,0.0,489.4529101416239,489.4529101416239,0.0,0.0,37.65522680829033,0.0,0.0,0.0,9265.345871936835,183.34906013905228,0.0,0.0,0.0,183.34906013905228
4-3,2025-02-01,9,01:30,1:20-1:30,0,0.3514613875962593,0.3630489279584249,0.3606,446.08,0.0,450.69991503123345,0.0,463.819750085014,463.819750085014,0.0,0.0,17.73975008501414,0.0,0.0,0.0,9281.311647013348,167.25340188065604,0.0,0.0,0.0,167.25340188065604
4-3,2025-02-01,10,01:40,1:30-1:40,0,0.3581078071464336,0.36813458650535036,0.3582,471.7663333333333,0.0,497.431475286157,0.0,504.8621092001954,504.8621092001954,0.0,0.0,33.0957758668612,0.0,0.0,0.0,9311.097845293523,180.84160751551,0.0,0.0,0.0,180.84160751551
4-3,2025-02-01,11,01:50,1:40-1:50,0,0.35699647690918346,0.3595110402130189,0.3041,448.02596666666665,0.0,503.91547863332806,0.0,524.3135651473538,524.3135651473538,0.0,0.0,76.28759848068714,0.0,0.0,0.0,9379.756683926142,159.44375516131026,0.0,0.0,0.0,159.44375516131026
4-3,2025-02-01,12,02:00,1:50-2:00,0,0.35108846041075253,0.3470632261911561,0.2537,397.4033333333333,0.0,466.7047385965242,0.0,1268.3296650902703,1268.3296650902703,0.0,0.0,833.3333333333333,0.0,0.0,37.59299842360372,10129.756683926142,321.77523603340154,0.0,0.0,0.0,321.77523603340154
4-3,2025-02-01,13,02:10,2:00-2:10,0,0.35424230731035805,0.359150572146151,0.3346,434.0906333333333,0.0,461.5623850584386,0.0,491.22183225253286,491.22183225253286,0.0,0.0,57.131198919200365,0.0,0.0,0.0,10181.174762953422,164.3628250716975,0.0,0.0,0.0,164.3628250716975
4-3,2025-02-01,14,02:20,2:10-2:20,0,0.35954839234004304,0.37580376746543376,0.3971,490.5609166666666,0.0,478.7131942466842,0.0,457.21629381957587,457.21629381957587,0.0,0.0,0.0,33.34462284709025,0.0,0.0,10144.12518201221,181.56059027575358,0.0,0.0,0.0,181.56059027575358
4-3,2025-02-01,15,02:30,2:20-2:30,0,0.3618680660038403,0.3767022033852466,0.367,503.22,0.0,495.0223267425968,0.0,479.5182818429019,479.5182818429019,0.0,0.0,0.0,23.701718157097822,0.0,0.0,10117.789939615435,175.983209436345,0.0,0.0,0.0,175.983209436345
4-3,2025-02-01,16,02:40,2:30-2:40,0,0.363804897622005,0.36260732051050065,0.3185,474.07281666666665,0.0,502.3424134943287,0.0,501.80712105951847,501.80712105951847,0.0,0.0,27.73430439285221,0.0,0.0,0.0,10142.750813569002,159.82556805745662,0.0,0.0,0.0,159.82556805745662
4-3,2025-02-01,17,02:50,2:40-2:50,0,0.37037725777142777,0.36856955421487037,0.3285,461.38439999999997,0.0,515.1785636296253,0.0,527.9193234329225,527.9193234329225,0.0,0.0,66.53492343292277,0.0,0.0,0.0,10202.632244658633,173.42149774771505,0.0,0.0,0.0,173.42149774771505
4-3,2025-02-01,18,03:00,2:50-3:00,0,0.3783302077053928,0.3880124873199716,0.3772,476.94166666666666,0.0,536.0565418516878,0.0,553.6834345573463,553.6834345573463,0.0,0.0,76.74176789067941,0.0,0.0,0.0,10271.699835760244,208.84939151503104,0.0,0.0,0.0,208.84939151503104
4-3,2025-02-01,19,03:10,3:00-3:10,0,0.3792589336848509,0.38102232023266674,0.3815,483.39955,0.0,549.3007353224277,0.0,559.8412485961785,559.8412485961785,0.0,0.0,76.44169859617857,0.0,0.0,0.0,10340.497364496805,213.5794363394421,0.0,0.0,0.0,213.5794363394421
4-3,2025-02-01,20,03:20,3:10-3:20,0,0.3791041903091143,0.372917061200747,0.3822,486.6019166666666,0.0,537.717616079865,0.0,547.2819294001318,547.2819294001318,0.0,0.0,10.558483892438947,0.0,0.0,50.121528841026276,10350.0,209.1711534167304,0.0,0.0,0.0,209.1711534167304
4-3,2025-02-01,21,03:30,3:20-3:30,0,0.3790056847102128,0.3772329503209805,0.3962,498.84833333333336,0.0,509.3891363416288,0.0,528.5018901487547,528.5018901487547,0.0,0.0,0.0,0.0,0.0,29.653556815421325,10350.0,209.3924488769366,0.0,0.0,0.0,209.3924488769366
4-3,2025-02-01,22,03:40,3:30-3:40,0,0.37553613356812254,0.38164372019584863,0.3879,518.3097333333333,0.0,494.1257620411398,0.0,512.2881506291478,512.2881506291478,0.0,0.0,0.0,6.0215827041856755,0.0,0.0,10343.309352550905,198.71657362904645,0.0,0.0,0.0,198.71657362904645
4-3,2025-02-01,23,03:50,3:40-3:50,0,0.3799243974391386,0.3853308968378305,0.3405,509.13346666666666,0.0,506.0239491963704,0.0,496.4357634203126,496.4357634203126,0.0,0.0,0.0,12.697703246354468,0.0,0.0,10329.200793388289,169.03637744461645,0.0,0.0,0.0,169.03637744461645
4-3,2025-02-01,24,04:00,3:50-4:00,0,0.38922546305009165,0.3885404386649274,0.3164,483.6166666666666,0.0,537.2465277028168,0.0,526.260021398399,526.260021398399,0.0,0.0,0.0,0.0,0.0,42.64335473173236,10329.200793388289,166.50867077045345,0.0,0.0,0.0,166.50867077045345
4-3,2025-02-01,25,04:10,4:00-4:10,0,0.38782377200120083,0.39026017250235495,0.3916,491.1868,0.0,561.4017740348982,0.0,553.4096322586787,553.4096322586787,0.0,0.0,0.0,0.0,0.0,62.22283225867869,10329.200793388289,216.71521199249858,0.0,0.0,0.0,216.71521199249858
4-3,2025-02-01,26,04:20,4:10-4:20,0,0.38125694667830734,0.39262414622775615,0.4109,504.64528333333334,0.0,550.8051148169533,0.0,554.9820532261472,554.9820532261472,0.0,0.0,0.0,0.0,0.0,50.336769892813834,10329.200793388289,228.04212567062388,0.0,0.0,0.0,228.04212567062388
4-3,2025-02-01,27,04:30,4:20-4:30,0,0.37951809675960463,0.39604277406514227,0.361,505.57833333333326,0.0,523.6811550412247,0.0,539.2168875063761,539.2168875063761,0.0,0.0,0.0,0.0,0.0,33.63855417304285,10329.200793388289,194.65729638980176,0.0,0.0,0.0,194.65729638980176
4-3,2025-02-01,28,04:40,4:30-4:40,0,0.3869695484679464,0.39847448078042846,0.3799,503.23096666666663,0.0,524.3169589247386,0.0,524.1610646299276,524.1610646299276,0.0,0.0,0.0,0.0,0.0,20.930097963261005,10329.200793388289,199.1287884529095,0.0,0.0,0.0,199.1287884529095
4-3,2025-02-01,29,04:50,4:40-4:50,0,0.38996533178172627,0.39751681706782865,0.4094,502.84698333333336,0.00023333333333333333,519.498747081116,0.00024181532754264518,509.2261123277845,509.2261123277845,0.0,0.0,0.0,0.0,0.0,6.379362327784463,10329.200793388289,208.47717038699497,0.0,0.0,0.0,208.47717038699497
4-3,2025-02-01,30,05:00,4:50-5:00,0,0.3864793618526178,0.3966281043511975,0.4052,499.64166666666665,0.0,510.7204644982454,0.0,489.6274480988975,489.6274480988975,0.0,0.0,0.0,10.014218567769603,0.0,0.0,10318.073883868545,198.39704196967327,0.0,0.0,0.0,198.39704196967327
4-3,2025-02-01,31,05:10,5:00-5:10,0,0.38867048070753596,0.401553752003514,0.3896,488.78358333333335,0.0,536.7218820689045,0.0,530.9626761061178,530.9626761061178,0.0,0.0,0.0,0.0,0.0,42.17909277278443,10318.073883868545,206.86305861094348,0.0,0.0,0.0,206.86305861094348
4-3,2025-02-01,32,05:20,5:10-5:20,0,0.3994267922851324,0.4030757042578275,0.3908,498.51875,0.0033166666666666665,567.6720834626864,0.003408751030192242,568.0406355138641,568.0406355138641,0.0,0.0,0.0,0.0,0.0,69.52520218053075,10318.073883868545,221.9902803588181,0.0,0.0,0.0,221.9902803588181
