date,t,source_right_end_label,physical_interval,price_yuan_per_kwh,actual_load_kwh,actual_pv_kwh,forecast_load_kwh,forecast_pv_kwh,plan_grid_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_end_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_emergency_kwh,analytical_unused_kwh,analytical_end_soc_kwh
2025-02-01,1,00:10,0:00-0:10,0.4248,422.0303666666667,0.0,435.96965853203966,0.0,1238.1322871989819,816.101920532315,0.0,0.0,0.0,6734.491728479084,816.1019205323153,0.0,0.0,0.0,6734.491728479084
2025-02-01,2,00:20,0:10-0:20,0.4245,415.4073166666667,0.0,464.32108434849977,0.0,1266.3993473430064,833.3333333333333,0.0,0.0,17.65869734300645,7484.491728479084,833.3333333333334,0.0,0.0,17.658697343006338,7484.491728479084
2025-02-01,3,00:30,0:20-0:30,0.4269,410.7166666666667,0.0,487.63258048168404,0.0,1272.5647362577877,833.3333333333323,0.0,0.0,28.514736257788627,8234.491728479083,833.3333333333334,0.0,0.0,28.514736257787604,8234.491728479083
2025-02-01,4,00:40,0:30-0:40,0.4272,430.29479999999995,0.0,461.39861013457227,0.0,1254.6056735110074,824.3108735110076,0.0,0.0,0.0,8976.37151463899,824.3108735110075,0.0,0.0,0.0,8976.37151463899
2025-02-01,5,00:50,0:40-0:50,0.4271,424.4105833333333,0.0,450.6391780161755,0.0,1232.327091582607,807.9165082492727,0.0,0.0,0.0,9703.496372063335,807.9165082492736,0.0,0.0,0.0,9703.496372063335
2025-02-01,6,01:00,0:50-1:00,0.4285,406.0516666666666,0.0,467.8274089685731,0.0,491.62119352134596,85.56952685467978,0.0,0.0,0.0,9780.508946232547,85.56952685467934,0.0,0.0,0.0,9780.508946232547
2025-02-01,7,01:10,1:00-1:10,0.4311,436.7501833333333,0.0,461.3105003646568,0.0,470.2138813928553,33.46369805952135,0.0,0.0,0.0,9810.626274486116,33.46369805952196,0.0,0.0,0.0,9810.626274486116
2025-02-01,8,01:20,1:10-1:20,0.4302,451.7976833333333,0.0,443.8641151511249,0.0,449.86132701316694,0.0,1.9363563201661236,0.0,0.0,9808.47476746371,0.0,1.9363563201663396,0.0,0.0,9808.47476746371
2025-02-01,9,01:30,1:20-1:30,0.4279,446.08,0.0,450.69991503123345,0.0,474.5641726232792,28.48417262327833,0.0,0.0,0.0,9834.11052282466,28.48417262327922,0.0,0.0,0.0,9834.11052282466
2025-02-01,10,01:40,1:30-1:40,0.4312,471.7663333333333,0.0,497.431475286157,0.0,509.0697288646287,37.303395531295486,0.0,0.0,0.0,9867.683578802826,37.30339553129539,0.0,0.0,0.0,9867.683578802826
2025-02-01,11,01:50,1:40-1:50,0.4333,448.02596666666665,0.0,503.91547863332806,0.0,512.0694396460178,64.04347297935196,0.0,0.0,0.0,9925.322704484242,64.04347297935118,0.0,0.0,0.0,9925.322704484242
2025-02-01,12,02:00,1:50-2:00,0.4311,397.4033333333333,0.0,466.7047385965242,0.0,486.0151641977991,88.61183086446545,0.0,0.0,0.0,10005.073352262261,88.61183086446579,0.0,0.0,0.0,10005.073352262261
2025-02-01,13,02:10,2:00-2:10,0.4293,434.0906333333333,0.0,461.5623850584386,0.0,495.38694212419,61.29630879085703,0.0,0.0,0.0,10060.240030174033,61.2963087908567,0.0,0.0,0.0,10060.240030174033
